feature,importance
num_log__sum_weighted_score_cutoff,0.23729710966042933
num_log__avg_assessment_score_cutoff,0.15059559043451737
num_std__latest_submit_day_cutoff,0.06668620113462424
num_std__active_days_cutoff,0.05694148244333582
num_log__clicks_cutoff_homepage,0.03688465108547763
num_log__clicks_cutoff_oucontent,0.03593907248068293
num_log__interactions_cutoff,0.034189323409782375
num_log__clicks_cutoff_quiz,0.029615115414781314
num_log__clicks_cutoff_forumng,0.026471895611521523
num_log__daily_clicks_std_cutoff,0.02632780797843761
num_log__total_clicks_cutoff,0.025705863008870882
num_log__clicks_cutoff_ouwiki,0.02569632763078902
num_log__clicks_cutoff_subpage,0.024585430626619685
num_log__clicks_cutoff_resource,0.024327837599408087
num_log__clicks_cutoff_url,0.02224872712146288
num_log__daily_clicks_mean_cutoff,0.01973432400278074
num_log__avg_clicks_per_active_day_cutoff,0.0196994725142197
num_std__studied_credits,0.01628982712765032
num_log__clicks_cutoff_page,0.014823381906501504
num_log__assessments_submitted_cutoff,0.014425755322017222
num_log__clicks_cutoff_oucollaborate,0.006995481659136455
cat__highest_education_Lower Than A Level,0.004848448323944143
num_log__clicks_cutoff_externalquiz,0.004842737357870381
num_std__num_of_prev_attempts,0.0047608470478259675
num_log__clicks_cutoff_glossary,0.0043576737065814854
num_log__clicks_cutoff_ouelluminate,0.0037968282665059583
cat__highest_education_A Level or Equivalent,0.003687624627831973
num_log__clicks_cutoff_htmlactivity,0.0035591367668302426
cat__gender_F,0.003242034354913083
cat__gender_M,0.0031273785190304554
num_log__clicks_cutoff_questionnaire,0.0030783044617162334
num_log__clicks_cutoff_dualpane,0.0028509197497056213
cat__imd_band_0-10%,0.00261250044749725
cat__age_band_35-55,0.00245888049412622
cat__age_band_0-35,0.0023011255664343337
cat__imd_band_10-20,0.0020058322988620917
cat__region_West Midlands Region,0.0018914344877710093
cat__imd_band_20-30%,0.001843254771839219
cat__region_Wales,0.0017827652402089462
cat__region_Scotland,0.0017705274694962859
cat__imd_band_30-40%,0.0017609426520772153
cat__disability_N,0.001659719756051763
cat__disability_Y,0.0016094537733791394
cat__imd_band_90-100%,0.0015321265930401946
cat__imd_band_50-60%,0.0015277260981720543
cat__highest_education_HE Qualification,0.0013779263333610703
cat__imd_band_60-70%,0.0012954110873777537
cat__region_South Region,0.0012952938024587768
cat__region_East Midlands Region,0.0012830787239948877
cat__region_East Anglian Region,0.0012735721818958243
cat__region_London Region,0.0011841063732857232
cat__region_North Western Region,0.001143276124541925
cat__region_South West Region,0.001103385082691
cat__imd_band_70-80%,0.0010953401489898044
cat__imd_band_80-90%,0.0010763576566547872
cat__imd_band_40-50%,0.00106982849167476
cat__region_Yorkshire Region,0.0009682748987359798
cat__region_South East Region,0.0009312070512461077
cat__region_Ireland,0.0008400880628799825
cat__region_North Region,0.0007463226166554642
cat__highest_education_Post Graduate Qualification,0.00026122028234067156
num_log__clicks_cutoff_sharedsubpage,0.0002417686456131158
cat__highest_education_No Formal quals,0.0002239379031509303
num_log__clicks_cutoff_dataplus,0.00017105366326506215
cat__age_band_55<=,2.9649864428534646e-05
num_log__clicks_cutoff_repeatactivity,0.0
